"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,2.866217E-06
0,6,0.0001259159
0,9,0.0008551888
0,12,0.002988527
0,15,0.007457925
0,18,0.01517221
0,21,0.02688799
0,24,0.04312634
0,27,0.06413866
0,30,0.08991136
0,33,0.1201962
0,36,0.1545557
0,39,0.1924128
0,42,0.2330999
0,45,0.2759038
0,48,0.320103
0,51,0.3649989
0,54,0.4099388
0,57,0.4543317
0,60,0.4976583
0,63,0.5394753
0,66,0.5794164
0,69,0.6171904
0,72,0.6525757
0,75,0.6854151
0,78,0.7156079
0,81,0.7431034
0,84,0.7678938
0,87,0.7900069
0,90,0.8095002
0,93,0.8264548
0,96,0.8409703
0,99,0.8531606
0,102,0.8631492
0,105,0.8710663
0,108,0.8770462
0,111,0.8812243
0,114,0.8837354
0,117,0.8847122
0,120,0.8842838
0,135,0.8652461
0,150,0.8273675
0,165,0.7803198
0,180,0.7304311
0,195,0.6814896
0,210,0.6355251
0,225,0.5934331
0,240,0.5554229
0,255,0.521323
0,270,0.4907756
0,285,0.4633559
0,300,0.4386394
0,315,0.4162364
0,330,0.3958066
0,345,0.377062
0,360,0.3597637
0,375,0.3437161
0,390,0.3287596
0,405,0.3147646
0,420,0.3016254
0,435,0.2892552
0,450,0.277582
0,465,0.2665456
0,480,0.2560948
0,495,0.2461856
0,510,0.2367799
0,525,0.227844
0,540,0.2193477
0,555,0.2112643
0,570,0.2035693
0,585,0.1962404
0,600,0.1892573
0,615,0.1826013
0,630,0.176255
0,645,0.1702023
0,660,0.1644283
0,675,0.1589191
0,690,0.1536615
0,705,0.1486433
0,720,0.1438529
0,735,0.1392793
0,750,0.1349121
0,765,0.1307416
0,780,0.1267581
0,795,0.1229528
0,810,0.1193172
0,825,0.1158428
0,840,0.112522
0,855,0.1093472
0,870,0.1063112
0,885,0.1034072
0,900,0.1006285
0,915,0.09796893
0,930,0.09542245
0,945,0.09298336
0,960,0.09064619
0,975,0.08840576
0,990,0.08625712
0,1005,0.08419553
0,1020,0.08221655
0,1035,0.08031589
0,1050,0.0784895
0,1065,0.07673356
0,1080,0.07504439
0,1095,0.07341853
0,1110,0.0718527
0,1125,0.07034378
0,1140,0.06888881
0,1155,0.067485
0,1170,0.06612968
0,1185,0.06482034
0,1200,0.06355461
0,1215,0.06233026
0,1230,0.06114513
0,1245,0.05999723
0,1260,0.05888465
0,1275,0.05780559
0,1290,0.05675836
0,1305,0.05574133
0,1320,0.05475301
0,1335,0.05379196
0,1350,0.05285682
0,1365,0.05194632
0,1380,0.05105927
0,1395,0.05019453
0,1410,0.04935103
0,1425,0.04852776
0,1440,0.04772377
0,1455,0.04693818
0,1470,0.04617014
0,1485,0.04541885
0,1500,0.04468357
0,1515,0.04396361
0,1530,0.04325829
0,1545,0.042567
0,1560,0.04188916
0,1575,0.04122421
0,1590,0.04057164
0,1605,0.03993098
0,1620,0.03930175
0,1635,0.03868353
0,1650,0.03807592
0,1665,0.03747854
0,1680,0.03689104
0,1695,0.03631309
0,1710,0.03574437
0,1725,0.0351846
0,1740,0.03463348
0,1755,0.03409078
0,1770,0.03355625
0,1785,0.03302965
0,1800,0.03251077
0,1815,0.03199942
0,1830,0.0314954
0,1845,0.03099854
0,1860,0.03050867
0,1875,0.03002564
0,1890,0.02954929
0,1905,0.02907949
0,1920,0.02861612
1,0,0
1,3,2.025525E-06
1,6,8.364471E-05
1,9,0.000557368
1,12,0.00195479
1,15,0.004929987
1,18,0.01014042
1,21,0.01813885
1,24,0.02930262
1,27,0.04380277
1,30,0.06160598
1,33,0.08249763
1,36,0.1061178
1,39,0.1320028
1,42,0.159627
1,45,0.1884406
1,48,0.2179015
1,51,0.2474988
1,54,0.2767704
1,57,0.3053118
1,60,0.3327817
1,63,0.3589017
1,66,0.383454
1,69,0.4062771
1,72,0.4272598
1,75,0.4463357
1,78,0.4634768
1,81,0.4786873
1,84,0.4919983
1,87,0.5034624
1,90,0.5131497
1,93,0.5211428
1,96,0.5275341
1,99,0.5324224
1,102,0.5359104
1,105,0.5381027
1,108,0.539104
1,111,0.5390173
1,114,0.5379435
1,117,0.5359799
1,120,0.5332196
1,135,0.5103986
1,150,0.4788064
1,165,0.4445527
1,180,0.4112315
1,195,0.3806525
1,210,0.3534878
1,225,0.329757
1,240,0.3091532
1,255,0.2912434
1,270,0.2755812
1,285,0.2617615
1,300,0.249442
1,315,0.2383454
1,330,0.2282532
1,345,0.2189957
1,360,0.2104423
1,375,0.2024922
1,390,0.1950673
1,405,0.1881064
1,420,0.1815608
1,435,0.1753908
1,450,0.1695637
1,465,0.1640517
1,480,0.158831
1,495,0.1538808
1,510,0.1491824
1,525,0.1447194
1,540,0.1404765
1,555,0.1364401
1,570,0.1325976
1,585,0.1289374
1,600,0.1254489
1,615,0.1221223
1,630,0.1189485
1,645,0.1159191
1,660,0.1130262
1,675,0.1102627
1,690,0.1076217
1,705,0.105097
1,720,0.1026826
1,735,0.100373
1,750,0.09816288
1,765,0.0960473
1,780,0.09402152
1,795,0.09208102
1,810,0.09022149
1,825,0.08843882
1,840,0.08672906
1,855,0.08508846
1,870,0.08351339
1,885,0.0820004
1,900,0.08054617
1,915,0.07914756
1,930,0.07780153
1,945,0.07650521
1,960,0.07525582
1,975,0.07405075
1,990,0.07288752
1,1005,0.07176376
1,1020,0.0706772
1,1035,0.06962571
1,1050,0.06860727
1,1065,0.06761996
1,1080,0.06666195
1,1095,0.06573153
1,1110,0.06482707
1,1125,0.06394706
1,1140,0.06309004
1,1155,0.06225466
1,1170,0.06143964
1,1185,0.06064375
1,1200,0.05986589
1,1215,0.05910497
1,1230,0.05835999
1,1245,0.05763003
1,1260,0.0569142
1,1275,0.05621167
1,1290,0.05552169
1,1305,0.05484352
1,1320,0.0541765
1,1335,0.05352
1,1350,0.05287343
1,1365,0.05223626
1,1380,0.05160798
1,1395,0.05098812
1,1410,0.05037623
1,1425,0.04977192
1,1440,0.04917482
1,1455,0.04858458
1,1470,0.04800088
1,1485,0.04742342
1,1500,0.04685194
1,1515,0.0462862
1,1530,0.04572595
1,1545,0.045171
1,1560,0.04462115
1,1575,0.04407624
1,1590,0.0435361
1,1605,0.0430006
1,1620,0.04246961
1,1635,0.041943
1,1650,0.04142069
1,1665,0.04090257
1,1680,0.04038856
1,1695,0.0398786
1,1710,0.03937261
1,1725,0.03887055
1,1740,0.03837236
1,1755,0.03787801
1,1770,0.03738746
1,1785,0.03690068
1,1800,0.03641765
1,1815,0.03593834
1,1830,0.03546275
1,1845,0.03499086
1,1860,0.03452267
1,1875,0.03405816
1,1890,0.03359735
1,1905,0.03314023
1,1920,0.03268681
2,0,0
2,3,2.470879E-06
2,6,9.108042E-05
2,9,0.000585134
2,12,0.002012441
2,15,0.004988779
2,18,0.01008847
2,21,0.01775301
2,24,0.02824504
2,27,0.04163615
2,30,0.0578177
2,33,0.07652759
2,36,0.09738689
2,39,0.1199398
2,42,0.1436899
2,45,0.1681317
2,48,0.1927751
2,51,0.2171638
2,54,0.2408883
2,57,0.2635944
2,60,0.2849873
2,63,0.3048327
2,66,0.3229549
2,69,0.3392328
2,72,0.3535959
2,75,0.3660183
2,78,0.3765126
2,81,0.3851236
2,84,0.3919225
2,87,0.3970015
2,90,0.400468
2,93,0.4024406
2,96,0.4030446
2,99,0.4024085
2,102,0.4006617
2,105,0.3979312
2,108,0.3943402
2,111,0.3900063
2,114,0.3850408
2,117,0.3795477
2,120,0.3736228
2,135,0.3403203
2,150,0.3061407
2,165,0.2751613
2,180,0.248806
2,195,0.2270668
2,210,0.2093209
2,225,0.1947878
2,240,0.1827437
2,255,0.172597
2,270,0.1638957
2,285,0.1563073
2,300,0.1495919
2,315,0.1435772
2,330,0.1381387
2,345,0.1331851
2,360,0.128648
2,375,0.1244748
2,390,0.1206237
2,405,0.1170607
2,420,0.1137575
2,435,0.1106896
2,450,0.107836
2,465,0.1051778
2,480,0.1026984
2,495,0.1003827
2,510,0.098217
2,525,0.09618897
2,540,0.09428725
2,555,0.09250149
2,570,0.09082223
2,585,0.08924083
2,600,0.08774941
2,615,0.08634077
2,630,0.08500836
2,645,0.08374621
2,660,0.0825489
2,675,0.08141147
2,690,0.08032945
2,705,0.07929871
2,720,0.07831551
2,735,0.0773764
2,750,0.0764782
2,765,0.07561797
2,780,0.07479297
2,795,0.07400067
2,810,0.07323867
2,825,0.07250471
2,840,0.07179666
2,855,0.07111255
2,870,0.0704505
2,885,0.06980869
2,900,0.06918544
2,915,0.06857917
2,930,0.06798837
2,945,0.06741162
2,960,0.06684759
2,975,0.06629502
2,990,0.06575275
2,1005,0.06521969
2,1020,0.0646948
2,1035,0.06417714
2,1050,0.06366583
2,1065,0.06316005
2,1080,0.06265906
2,1095,0.06216216
2,1110,0.06166871
2,1125,0.06117814
2,1140,0.06068991
2,1155,0.06020354
2,1170,0.05971862
2,1185,0.05923473
2,1200,0.05875155
2,1215,0.05826875
2,1230,0.05778607
2,1245,0.05730327
2,1260,0.05682014
2,1275,0.0563365
2,1290,0.05585221
2,1305,0.05536715
2,1320,0.05488121
2,1335,0.05439433
2,1350,0.05390645
2,1365,0.05341753
2,1380,0.05292755
2,1395,0.05243652
2,1410,0.05194445
2,1425,0.05145136
2,1440,0.0509573
2,1455,0.05046232
2,1470,0.04996648
2,1485,0.04946984
2,1500,0.0489725
2,1515,0.04847454
2,1530,0.04797605
2,1545,0.04747713
2,1560,0.04697789
2,1575,0.04647842
2,1590,0.04597886
2,1605,0.04547931
2,1620,0.0449799
2,1635,0.04448074
2,1650,0.04398195
2,1665,0.04348366
2,1680,0.042986
2,1695,0.04248909
2,1710,0.04199305
2,1725,0.04149801
2,1740,0.04100408
2,1755,0.04051141
2,1770,0.04002009
2,1785,0.03953027
2,1800,0.03904204
2,1815,0.03855554
2,1830,0.03807087
2,1845,0.03758815
2,1860,0.03710748
2,1875,0.03662898
2,1890,0.03615275
2,1905,0.03567889
2,1920,0.0352075
3,0,0
3,3,9.634687E-06
3,6,0.0003260643
3,9,0.002032841
3,12,0.006891218
3,15,0.01691394
3,18,0.03386515
3,21,0.05889025
3,24,0.09234168
3,27,0.1337772
3,30,0.1820779
3,33,0.2356399
3,36,0.2925906
3,39,0.3509928
3,42,0.4090084
3,45,0.4650124
3,48,0.5176601
3,51,0.5659137
3,54,0.6090389
3,57,0.6465822
3,60,0.6783356
3,63,0.7042961
3,66,0.7246246
3,69,0.7396071
3,72,0.7496188
3,75,0.7550938
3,78,0.7565
3,81,0.7543179
3,84,0.7490247
3,87,0.7410818
3,90,0.7309262
3,93,0.7189639
3,96,0.7055668
3,99,0.6910701
3,102,0.6757724
3,105,0.659936
3,108,0.6437883
3,111,0.6275241
3,114,0.6113076
3,117,0.5952753
3,120,0.5795388
3,135,0.5077639
3,150,0.4500375
3,165,0.4056894
3,180,0.3719686
3,195,0.3459728
3,210,0.3253465
3,225,0.308393
3,240,0.2939687
3,255,0.28133
3,270,0.2700019
3,285,0.2596801
3,300,0.2501664
3,315,0.241328
3,330,0.2330716
3,345,0.2253286
3,360,0.2180462
3,375,0.2111818
3,390,0.2046998
3,405,0.1985693
3,420,0.1927635
3,435,0.1872584
3,450,0.1820323
3,465,0.1770654
3,480,0.1723399
3,495,0.1678392
3,510,0.1635483
