"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,1.586696E-05
0,6,0.0005245917
0,9,0.003281072
0,12,0.0112154
0,15,0.02787503
0,18,0.05661679
0,21,0.09960237
0,24,0.1569842
0,27,0.2268029
0,30,0.3056443
0,33,0.3895743
0,36,0.4748621
0,39,0.5583232
0,42,0.6374152
0,45,0.7102171
0,48,0.7753671
0,51,0.832002
0,54,0.8796955
0,57,0.9183943
0,60,0.9483557
0,63,0.9700799
0,66,0.9842473
0,69,0.9916567
0,72,0.9931718
0,75,0.9896778
0,78,0.9820449
0,81,0.9710963
0,84,0.9575921
0,87,0.9422168
0,90,0.925568
0,93,0.90816
0,96,0.8904274
0,99,0.8727252
0,102,0.8553348
0,105,0.8384753
0,108,0.822311
0,111,0.8069568
0,114,0.7924874
0,117,0.7789445
0,120,0.7663425
0,135,0.7167086
0,150,0.6851163
0,165,0.6650056
0,180,0.6510287
0,195,0.6393272
0,210,0.6267144
0,225,0.6091555
0,240,0.5788035
0,255,0.5245395
0,270,0.4641024
0,285,0.424555
0,300,0.3978544
0,315,0.3760177
0,330,0.356547
0,345,0.3386829
0,360,0.3221115
0,375,0.3066542
0,390,0.2921875
0,405,0.2786173
0,420,0.2658672
0,435,0.2538728
0,450,0.2425786
0,465,0.2319351
0,480,0.2218984
0,495,0.2124285
0,510,0.2034887
0,525,0.1950454
0,540,0.1870677
0,555,0.1795266
0,570,0.1723954
0,585,0.1656489
0,600,0.1592639
0,615,0.1532184
0,630,0.1474921
0,645,0.1420656
0,660,0.136921
0,675,0.1320415
0,690,0.127411
0,705,0.1230149
0,720,0.118839
0,735,0.1148703
0,750,0.1110964
0,765,0.1075058
0,780,0.1040876
0,795,0.1008316
0,810,0.09772808
0,825,0.09476818
0,840,0.09194341
0,855,0.0892458
0,870,0.08666793
0,885,0.08420279
0,900,0.08184382
0,915,0.07958485
0,930,0.07742012
0,945,0.07534418
0,960,0.07335196
0,975,0.0714387
0,990,0.0695999
0,1005,0.06783137
0,1020,0.0661292
0,1035,0.06448967
0,1050,0.06290934
0,1065,0.06138497
0,1080,0.05991352
0,1095,0.05849214
0,1110,0.05711816
0,1125,0.0557891
0,1140,0.05450261
0,1155,0.05325649
0,1170,0.05204868
0,1185,0.05087728
0,1200,0.04974047
0,1215,0.04863656
0,1230,0.04756397
0,1245,0.04652123
0,1260,0.04550693
0,1275,0.04451979
0,1290,0.04355858
0,1305,0.04262215
0,1320,0.04170945
0,1335,0.04081945
0,1350,0.03995124
0,1365,0.03910391
0,1380,0.03827665
0,1395,0.03746867
0,1410,0.03667925
0,1425,0.03590771
0,1440,0.03515339
1,0,0
1,3,1.643624E-06
1,6,6.61089E-05
1,9,0.0004429388
1,12,0.001576536
1,15,0.004075571
1,18,0.008688721
1,21,0.01625213
1,24,0.02757533
1,27,0.04327463
1,30,0.06361007
1,33,0.08839573
1,36,0.1170262
1,39,0.1486064
1,42,0.1821341
1,45,0.2166572
1,48,0.2513706
1,51,0.2856508
1,54,0.3190428
1,57,0.3512282
1,60,0.3819896
1,63,0.4111785
1,66,0.4386947
1,69,0.4644751
1,72,0.4884833
1,75,0.510704
1,78,0.53114
1,81,0.5498103
1,84,0.5667496
1,87,0.5820067
1,90,0.5956413
1,93,0.6077232
1,96,0.618332
1,99,0.6275537
1,102,0.6354768
1,105,0.6421891
1,108,0.6477818
1,111,0.6523497
1,114,0.6559875
1,117,0.6587853
1,120,0.660825
1,135,0.662371
1,150,0.6553096
1,165,0.6451429
1,180,0.6348611
1,195,0.6257179
1,210,0.6179062
1,225,0.6110047
1,240,0.6041791
1,255,0.5961167
1,270,0.5845382
1,285,0.564805
1,300,0.5279559
1,315,0.4722094
1,330,0.424184
1,345,0.3926884
1,360,0.3689708
1,375,0.3485669
1,390,0.3301072
1,405,0.3131054
1,420,0.2973178
1,435,0.2825877
1,450,0.2688006
1,465,0.2558673
1,480,0.2437152
1,495,0.2322831
1,510,0.2215187
1,525,0.2113757
1,540,0.2018129
1,555,0.1927931
1,570,0.1842823
1,585,0.1762493
1,600,0.1686651
1,615,0.161503
1,630,0.1547379
1,645,0.1483465
1,660,0.1423069
1,675,0.1365987
1,690,0.1312024
1,705,0.1261
1,720,0.1212745
1,735,0.1167097
1,750,0.1123906
1,765,0.108303
1,780,0.1044334
1,795,0.1007691
1,810,0.09729832
1,825,0.09400975
1,840,0.09089281
1,855,0.0879375
1,870,0.08513442
1,885,0.08247469
1,900,0.07994997
1,915,0.07755235
1,930,0.07527442
1,945,0.07310916
1,960,0.07105
1,975,0.06909069
1,990,0.06722542
1,1005,0.06544864
1,1020,0.06375517
1,1035,0.06214011
1,1050,0.06059887
1,1065,0.05912709
1,1080,0.0577207
1,1095,0.05637586
1,1110,0.05508896
1,1125,0.0538566
1,1140,0.05267556
1,1155,0.05154286
1,1170,0.05045565
1,1185,0.04941127
1,1200,0.04840724
1,1215,0.04744118
1,1230,0.0465109
1,1245,0.04561432
1,1260,0.04474949
1,1275,0.04391458
1,1290,0.04310787
1,1305,0.04232775
1,1320,0.04157271
1,1335,0.04084131
1,1350,0.04013224
1,1365,0.03944424
1,1380,0.03877614
1,1395,0.03812684
1,1410,0.03749531
1,1425,0.03688059
1,1440,0.03628176
2,0,0
2,3,1.76777E-06
2,6,5.876426E-05
2,9,0.0003809974
2,12,0.001404297
2,15,0.003883935
2,18,0.008918799
2,21,0.01777694
2,24,0.03152499
2,27,0.05062835
2,30,0.07475241
2,33,0.1028799
2,36,0.1336543
2,39,0.1657466
2,42,0.1980819
2,45,0.2299032
2,48,0.2607336
2,51,0.2902958
2,54,0.3184389
2,57,0.3450839
2,60,0.3701914
2,63,0.3937433
2,66,0.4157355
2,69,0.4361742
2,72,0.4550751
2,75,0.472465
2,78,0.4883816
2,81,0.5028703
2,84,0.5159833
2,87,0.5277842
2,90,0.5383419
2,93,0.5477265
2,96,0.5560154
2,99,0.5632876
2,102,0.5696192
2,105,0.5750889
2,108,0.5797734
2,111,0.5837452
2,114,0.5870752
2,117,0.5898306
2,120,0.5920744
2,135,0.5975241
2,150,0.5972116
2,165,0.59458
2,180,0.5913705
2,195,0.5882378
2,210,0.5851784
2,225,0.5817472
2,240,0.5770575
2,255,0.5694681
2,270,0.5555824
2,285,0.527805
2,300,0.4756461
2,315,0.4160683
2,330,0.3766551
2,345,0.3506808
2,360,0.3299293
2,375,0.3116805
2,390,0.2950889
2,405,0.2798007
2,420,0.2656131
2,435,0.2523874
2,450,0.2400202
2,465,0.2284297
2,480,0.2175497
2,495,0.2073239
2,510,0.1977042
2,525,0.1886481
2,540,0.1801177
2,555,0.1720789
2,570,0.1645005
2,585,0.1573539
2,600,0.1506126
2,615,0.1442522
2,630,0.1382499
2,645,0.1325842
2,660,0.1272354
2,675,0.1221846
2,690,0.1174145
2,705,0.1129085
2,720,0.1086512
2,735,0.1046279
2,750,0.100825
2,765,0.09722952
2,780,0.09382936
2,795,0.09061306
2,810,0.0875698
2,825,0.08468941
2,840,0.08196231
2,855,0.07937948
2,870,0.07693238
2,885,0.074613
2,900,0.0724138
2,915,0.07032763
2,930,0.06834779
2,945,0.06646796
2,960,0.06468219
2,975,0.06298485
2,990,0.06137068
2,1005,0.0598347
2,1020,0.05837222
2,1035,0.05697884
2,1050,0.05565042
2,1065,0.05438304
2,1080,0.05317303
2,1095,0.05201694
2,1110,0.05091152
2,1125,0.04985371
2,1140,0.04884064
2,1155,0.0478696
2,1170,0.04693807
2,1185,0.04604365
2,1200,0.0451841
2,1215,0.04435732
2,1230,0.04356133
2,1245,0.04279428
2,1260,0.04205443
2,1275,0.04134014
2,1290,0.04064988
2,1305,0.03998221
2,1320,0.03933579
2,1335,0.03870936
2,1350,0.03810173
2,1365,0.03751179
2,1380,0.03693851
2,1395,0.03638092
2,1410,0.0358381
2,1425,0.0353092
2,1440,0.03479344
3,0,0
3,3,2.335501E-06
3,6,8.329893E-05
3,9,0.0005519058
3,12,0.002014463
3,15,0.005388719
3,18,0.01185038
3,21,0.02267537
3,24,0.03897678
3,27,0.06140524
3,30,0.08993192
3,33,0.1238255
3,36,0.1618356
3,39,0.2024931
3,42,0.2443934
3,45,0.2863708
3,48,0.3275582
3,51,0.3673599
3,54,0.4053877
3,57,0.4414053
3,60,0.475284
3,63,0.5069619
3,66,0.5364209
3,69,0.5636787
3,72,0.5887744
3,75,0.6117628
3,78,0.6327157
3,81,0.6517122
3,84,0.6688404
3,87,0.6841949
3,90,0.6978734
3,93,0.7099767
3,96,0.7206062
3,99,0.7298635
3,102,0.7378485
3,105,0.7446592
3,108,0.7503905
3,111,0.7551338
3,114,0.7589765
3,117,0.7620018
3,120,0.7642878
3,135,0.7670429
3,150,0.7603907
3,165,0.7491816
3,180,0.7362536
3,195,0.7230471
3,210,0.7100719
3,225,0.6971808
3,240,0.6836087
3,255,0.6676151
3,270,0.6451221
3,285,0.6060339
3,300,0.5404418
3,315,0.4799631
3,330,0.4409933
3,345,0.4116831
3,360,0.386494
3,375,0.3638244
3,390,0.343071
3,405,0.3239091
3,420,0.3061247
3,435,0.2895612
3,450,0.2740972
3,465,0.2596343
3,480,0.2460902
3,495,0.2333941
3,510,0.2214841
3,525,0.210305
3,540,0.1998071
3,555,0.1899453
3,570,0.180678
3,585,0.1719671
3,600,0.1637775
3,615,0.1560764
3,630,0.1488332
3,645,0.1420196
3,660,0.1356089
3,675,0.1295764
3,690,0.1238988
3,705,0.1185543
3,720,0.1135224
3,735,0.108784
3,750,0.104321
3,765,0.1001165
3,780,0.09615466
3,795,0.09242057
3,810,0.08890022
3,825,0.08558045
3,840,0.0824489
3,855,0.07949396
3,870,0.07670473
3,885,0.07407096
3,900,0.07158303
3,915,0.06923191
3,930,0.06700911
3,945,0.06490666
3,960,0.06291709
3,975,0.06103336
3,990,0.05924888
3,1005,0.05755746
3,1020,0.05595329
3,1035,0.05443093
3,1050,0.05298525
3,1065,0.05161146
3,1080,0.05030505
3,1095,0.04906181
3,1110,0.04787776
3,1125,0.04674921
3,1140,0.04567267
3,1155,0.04464489
3,1170,0.0436628
3,1185,0.04272354
3,1200,0.04182442
3,1215,0.04096295
