"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,6,2.112849E-06
0,12,0.0001376997
0,18,0.001637412
0,24,0.008598059
0,30,0.02821526
0,36,0.06877194
0,42,0.1369757
0,48,0.2361816
0,54,0.3659809
0,60,0.5228433
0,66,0.7012377
0,72,0.8947607
0,78,1.097016
0,84,1.302174
0,90,1.505251
0,96,1.702186
0,102,1.889794
0,108,2.065663
0,114,2.228029
0,120,2.375657
0,126,2.507744
0,132,2.623841
0,138,2.723794
0,144,2.807708
0,150,2.875915
0,156,2.928955
0,162,2.967557
0,168,2.992621
0,174,3.00519
0,180,3.006429
0,186,2.997584
0,192,2.979949
0,198,2.954818
0,204,2.923464
0,210,2.887095
0,216,2.84683
0,222,2.803677
0,228,2.758523
0,234,2.712131
0,240,2.665143
0,246,2.618083
0,252,2.571363
0,258,2.525306
0,264,2.480149
0,270,2.436062
0,276,2.393159
0,282,2.351506
0,288,2.311134
0,294,2.272044
0,300,2.23422
0,306,2.197628
0,312,2.162225
0,318,2.127962
0,324,2.094784
0,330,2.062636
0,336,2.031462
0,342,2.001207
0,348,1.971819
0,354,1.943247
0,360,1.915443
0,366,1.888362
0,372,1.861963
0,378,1.836207
0,384,1.811057
0,390,1.786481
0,396,1.762447
0,402,1.738927
0,408,1.715896
0,414,1.693329
0,420,1.671205
0,426,1.649503
0,432,1.628204
0,438,1.607292
0,444,1.586751
0,450,1.566566
0,456,1.546724
0,462,1.527213
0,468,1.508021
0,474,1.489137
0,480,1.470552
0,486,1.452256
0,492,1.434241
0,498,1.416499
0,504,1.399023
0,510,1.381804
0,516,1.364838
0,522,1.348117
0,528,1.331635
0,534,1.315387
0,540,1.299369
0,546,1.283573
0,552,1.267997
0,558,1.252636
0,564,1.237484
0,570,1.222539
0,576,1.207796
0,582,1.193251
0,588,1.1789
0,594,1.164741
0,600,1.15077
0,606,1.136983
0,612,1.123378
0,618,1.109951
0,624,1.096699
0,630,1.083621
0,636,1.070712
0,642,1.05797
0,648,1.045393
0,654,1.032977
0,660,1.020722
0,666,1.008624
0,672,0.9966801
0,678,0.9848893
0,684,0.9732488
0,690,0.9617566
0,696,0.9504104
0,702,0.9392083
0,708,0.928148
0,714,0.9172278
0,720,0.9064456
0,726,0.8957996
0,732,0.8852877
0,738,0.8749083
0,744,0.8646595
0,750,0.8545395
0,756,0.8445467
0,762,0.8346792
0,768,0.8249354
0,774,0.8153137
0,780,0.8058124
0,786,0.7964301
0,792,0.7871649
0,798,0.7780155
0,804,0.7689803
0,810,0.7600579
0,816,0.7512467
0,822,0.7425453
0,828,0.7339523
0,834,0.7254663
0,840,0.7170858
0,846,0.7088096
0,852,0.7006362
0,858,0.6925644
0,864,0.6845928
0,870,0.6767202
0,876,0.6689453
0,882,0.6612668
0,888,0.6536835
0,894,0.6461942
0,900,0.6387976
0,906,0.6314927
0,912,0.6242782
0,918,0.617153
0,924,0.6101159
0,930,0.6031658
