"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,2.512433E-07
0,6,1.040284E-05
0,9,7.444602E-05
0,12,0.0002820576
0,15,0.0007644399
0,18,0.001675315
0,21,0.003162528
0,24,0.005341397
0,27,0.008278618
0,30,0.01198888
0,33,0.01644106
0,36,0.02156959
0,39,0.02728612
0,42,0.03348986
0,45,0.04007556
0,48,0.04693924
0,51,0.05398208
0,54,0.06111283
0,57,0.06824926
0,60,0.07531879
0,63,0.08225869
0,66,0.08901578
0,69,0.09554603
0,72,0.1018139
0,75,0.1077916
0,78,0.1134583
0,81,0.1187994
0,84,0.1238059
0,87,0.1284732
0,90,0.132801
0,93,0.1367922
0,96,0.1404527
0,99,0.1437905
0,102,0.1468157
0,105,0.1495396
0,108,0.1519748
0,111,0.1541344
0,114,0.1560323
0,117,0.1576826
0,120,0.1590996
0,135,0.1631735
0,150,0.163413
0,165,0.1611847
0,180,0.1575196
0,195,0.1531435
0,210,0.1485349
0,225,0.1439857
0,240,0.1396569
0,255,0.1356225
0,270,0.1319036
0,285,0.1284911
0,300,0.1253613
0,315,0.1224845
0,330,0.1198307
0,345,0.117372
0,360,0.1150834
0,375,0.1129434
0,390,0.1109339
0,405,0.1090392
0,420,0.1072467
0,435,0.1055453
0,450,0.103926
0,465,0.102381
0,480,0.1009039
0,495,0.09948904
0,510,0.09813169
0,525,0.0968277
0,540,0.09557349
0,555,0.0943659
0,570,0.09320216
0,585,0.09207977
0,600,0.09099651
0,615,0.08995037
0,630,0.08893951
0,645,0.08796225
0,660,0.08701703
0,675,0.0861024
0,690,0.08521703
0,705,0.08435962
0,720,0.08352901
0,735,0.08272403
0,750,0.08194364
0,765,0.08118678
0,780,0.08045249
0,795,0.07973981
0,810,0.07904785
0,825,0.07837574
0,840,0.07772264
0,855,0.07708775
0,870,0.07647027
0,885,0.07586948
0,900,0.07528463
0,915,0.07471503
0,930,0.07416
0,945,0.07361889
0,960,0.07309106
0,975,0.07257589
0,990,0.0720728
0,1005,0.07158121
0,1020,0.07110058
0,1035,0.07063036
0,1050,0.07017004
0,1065,0.06971911
0,1080,0.06927711
0,1095,0.06884356
0,1110,0.06841801
0,1125,0.06800004
0,1140,0.06758923
0,1155,0.06718518
0,1170,0.0667875
0,1185,0.06639581
0,1200,0.06600977
0,1215,0.06562904
0,1230,0.06525327
0,1245,0.06488215
0,1260,0.0645154
0,1275,0.0641527
0,1290,0.06379379
0,1305,0.06343839
0,1320,0.06308625
0,1335,0.06273714
0,1350,0.06239081
0,1365,0.06204705
0,1380,0.06170564
0,1395,0.06136638
0,1410,0.0610291
0,1425,0.06069359
0,1440,0.06035969
0,1455,0.06002724
0,1470,0.05969608
0,1485,0.05936607
0,1500,0.05903707
0,1515,0.05870895
0,1530,0.05838159
0,1545,0.05805487
0,1560,0.05772869
0,1575,0.05740295
0,1590,0.05707756
0,1605,0.05675242
0,1620,0.05642746
0,1635,0.0561026
0,1650,0.05577777
0,1665,0.05545292
0,1680,0.05512799
0,1695,0.05480291
0,1710,0.05447765
0,1725,0.05415216
0,1740,0.05382642
0,1755,0.05350037
0,1770,0.053174
0,1785,0.05284727
0,1800,0.05252018
0,1815,0.0521927
0,1830,0.05186481
0,1845,0.05153651
0,1860,0.0512078
0,1875,0.05087866
0,1890,0.05054909
0,1905,0.05021911
0,1920,0.04988872
0,1935,0.04955791
0,1950,0.04922671
0,1965,0.04889512
0,1980,0.04856316
0,1995,0.04823085
0,2010,0.0478982
0,2025,0.04756523
0,2040,0.04723196
0,2055,0.04689843
0,2070,0.04656465
0,2085,0.04623066
0,2100,0.04589647
0,2115,0.04556211
0,2130,0.04522763
0,2145,0.04489304
0,2160,0.04455838
0,2175,0.04422369
0,2190,0.04388899
0,2205,0.04355433
0,2220,0.04321973
0,2235,0.04288523
0,2250,0.04255087
0,2265,0.04221669
0,2280,0.04188271
0,2295,0.04154899
0,2310,0.04121555
0,2325,0.04088243
0,2340,0.04054967
0,2355,0.04021732
0,2370,0.0398854
0,2385,0.03955395
0,2400,0.03922302
0,2415,0.03889263
0,2430,0.03856284
0,2445,0.03823367
0,2460,0.03790516
0,2475,0.03757735
0,2490,0.03725028
0,2505,0.03692398
0,2520,0.03659849
0,2535,0.03627384
0,2550,0.03595008
0,2565,0.03562722
0,2580,0.03530532
0,2595,0.0349844
0,2610,0.0346645
0,2625,0.03434565
0,2640,0.03402787
0,2655,0.03371122
0,2670,0.03339571
0,2685,0.03308138
0,2700,0.03276825
0,2715,0.03245637
0,2730,0.03214575
0,2745,0.03183642
0,2760,0.03152842
0,2775,0.03122176
0,2790,0.03091649
0,2805,0.03061262
0,2820,0.03031017
0,2835,0.03000918
0,2850,0.02970967
0,2865,0.02941166
0,2880,0.02911517
0,2895,0.02882023
0,2910,0.02852685
0,2925,0.02823507
0,2940,0.02794489
0,2955,0.02765634
0,2970,0.02736944
0,2985,0.02708421
0,3000,0.02680065
1,0,0
1,3,3.064245E-07
1,6,1.546849E-05
1,9,0.0001182391
1,12,0.0004517334
1,15,0.00121158
1,18,0.002624038
1,21,0.004922457
1,24,0.008322636
1,27,0.01299999
1,30,0.01907204
1,33,0.02658904
1,36,0.03553317
1,39,0.04582582
1,42,0.05733989
1,45,0.06991401
1,48,0.08336709
1,51,0.09751091
1,54,0.1121602
1,57,0.1271401
1,60,0.1422907
1,63,0.1574698
1,66,0.1725542
1,69,0.1874389
1,72,0.2020371
1,75,0.2162779
1,78,0.2301053
1,81,0.243476
1,84,0.2563584
1,87,0.2687299
1,90,0.2805767
1,93,0.2918913
1,96,0.3026724
1,99,0.3129228
1,102,0.3226495
1,105,0.3318623
1,108,0.3405733
1,111,0.3487965
1,114,0.3565471
1,117,0.3638414
1,120,0.3706963
1,135,0.398986
1,150,0.4188428
1,165,0.4321584
1,180,0.4404925
1,195,0.4450809
1,210,0.4468811
1,225,0.4466255
1,240,0.4448696
1,255,0.4420316
1,270,0.4384251
1,285,0.4342845
1,300,0.4297843
1,315,0.4250542
1,330,0.4201907
1,345,0.4152653
1,360,0.4103306
1,375,0.4054252
1,390,0.400577
1,405,0.3958058
1,420,0.3911249
1,435,0.3865432
1,450,0.3820655
1,465,0.3776942
1,480,0.3734294
1,495,0.36927
1,510,0.3652135
1,525,0.3612569
1,540,0.3573968
1,555,0.3536295
1,570,0.3499512
1,585,0.3463582
1,600,0.3428467
1,615,0.3394132
1,630,0.3360545
1,645,0.3327673
1,660,0.3295487
1,675,0.3263958
1,690,0.3233061
1,705,0.3202772
1,720,0.3173067
1,735,0.3143925
1,750,0.3115328
1,765,0.3087254
1,780,0.3059689
1,795,0.3032614
1,810,0.3006014
1,825,0.2979874
1,840,0.295418
1,855,0.2928919
1,870,0.2904078
1,885,0.2879644
1,900,0.2855606
1,915,0.2831953
1,930,0.2808673
1,945,0.2785755
1,960,0.2763191
1,975,0.2740969
1,990,0.271908
1,1005,0.2697515
1,1020,0.2676265
1,1035,0.2655321
1,1050,0.2634674
1,1065,0.2614317
1,1080,0.2594241
1,1095,0.2574438
1,1110,0.25549
1,1125,0.2535621
1,1140,0.2516592
1,1155,0.2497807
1,1170,0.2479259
1,1185,0.2460941
1,1200,0.2442846
1,1215,0.2424969
1,1230,0.2407302
1,1245,0.2389841
1,1260,0.2372578
1,1275,0.2355509
1,1290,0.2338627
1,1305,0.2321928
1,1320,0.2305406
1,1335,0.2289056
1,1350,0.2272872
1,1365,0.2256851
1,1380,0.2240987
1,1395,0.2225276
1,1410,0.2209713
1,1425,0.2194295
1,1440,0.2179017
1,1455,0.2163875
1,1470,0.2148864
1,1485,0.2133982
1,1500,0.2119225
1,1515,0.2104589
1,1530,0.2090071
1,1545,0.2075667
1,1560,0.2061374
1,1575,0.204719
1,1590,0.2033111
1,1605,0.2019134
1,1620,0.2005257
1,1635,0.1991476
1,1650,0.197779
1,1665,0.1964196
1,1680,0.1950692
1,1695,0.1937274
1,1710,0.1923942
1,1725,0.1910693
1,1740,0.1897524
1,1755,0.1884435
1,1770,0.1871423
1,1785,0.1858486
1,1800,0.1845623
1,1815,0.1832831
1,1830,0.182011
1,1845,0.1807458
1,1860,0.1794874
1,1875,0.1782356
1,1890,0.1769903
1,1905,0.1757513
1,1920,0.1745186
1,1935,0.173292
1,1950,0.1720715
1,1965,0.1708568
1,1980,0.1696481
1,1995,0.1684451
1,2010,0.1672477
1,2025,0.1660559
1,2040,0.1648697
1,2055,0.1636888
1,2070,0.1625134
1,2085,0.1613432
1,2100,0.1601783
1,2115,0.1590186
1,2130,0.1578641
1,2145,0.1567146
1,2160,0.1555703
1,2175,0.1544309
1,2190,0.1532965
1,2205,0.152167
1,2220,0.1510425
1,2235,0.1499228
1,2250,0.148808
1,2265,0.147698
1,2280,0.1465929
1,2295,0.1454925
1,2310,0.1443969
1,2325,0.143306
1,2340,0.14222
1,2355,0.1411386
1,2370,0.140062
1,2385,0.1389901
1,2400,0.1379229
1,2415,0.1368605
1,2430,0.1358027
1,2445,0.1347497
1,2460,0.1337013
1,2475,0.1326577
1,2490,0.1316188
1,2505,0.1305846
1,2520,0.1295551
1,2535,0.1285304
1,2550,0.1275103
1,2565,0.126495
1,2580,0.1254845
1,2595,0.1244787
