"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,8.107061E-07
0,6,3.887912E-05
0,9,0.0002926691
0,12,0.001094527
0,15,0.002854277
0,18,0.005988471
0,21,0.01087017
0,24,0.01779579
0,27,0.026966
0,30,0.03847887
0,33,0.05233273
0,36,0.06843681
0,39,0.08662656
0,42,0.1066807
0,45,0.128339
0,48,0.1513182
0,51,0.1753272
0,54,0.2000779
0,57,0.2252954
0,60,0.2507239
0,63,0.2761319
0,66,0.3013142
0,69,0.3260934
0,72,0.3503191
0,75,0.3738676
0,78,0.3966393
0,81,0.4185575
0,84,0.439565
0,87,0.4596227
0,90,0.4787065
0,93,0.4968056
0,96,0.5139198
0,99,0.5300581
0,102,0.5452366
0,105,0.5594773
0,108,0.5728062
0,111,0.5852532
0,114,0.5968499
0,117,0.6076298
0,120,0.6176271
0,135,0.6570696
0,150,0.6818678
0,165,0.6954447
0,180,0.7004766
0,195,0.6990098
0,210,0.6926106
0,225,0.6824898
0,240,0.6695933
0,255,0.6546658
0,270,0.6382954
0,285,0.6209468
0,300,0.6029865
0,315,0.584702
0,330,0.5663178
0,345,0.5480083
0,360,0.5299075
0,375,0.5121176
0,390,0.4947154
0,405,0.4777575
0,420,0.4612846
0,435,0.4453247
0,450,0.4298953
0,465,0.4150063
0,480,0.4006605
0,495,0.386856
0,510,0.3735868
0,525,0.3608434
0,540,0.3486142
0,555,0.3368856
0,570,0.3256426
0,585,0.3148695
0,600,0.3045498
0,615,0.2946667
0,630,0.2852036
0,645,0.2761436
0,660,0.2674702
0,675,0.2591674
0,690,0.2512194
0,705,0.2436109
0,720,0.2363272
0,735,0.229354
0,750,0.2226777
0,765,0.2162851
0,780,0.2101637
0,795,0.2043012
0,810,0.1986863
0,825,0.1933078
0,840,0.1881552
0,855,0.1832184
0,870,0.1784876
0,885,0.1739538
0,900,0.1696081
0,915,0.1654419
0,930,0.1614474
0,945,0.1576168
0,960,0.1539428
0,975,0.1504182
0,990,0.1470365
0,1005,0.143791
0,1020,0.1406758
0,1035,0.137685
0,1050,0.1348128
0,1065,0.1320539
0,1080,0.1294032
0,1095,0.1268557
0,1110,0.1244068
0,1125,0.1220518
0,1140,0.1197866
0,1155,0.117607
0,1170,0.1155089
0,1185,0.1134887
0,1200,0.1115428
0,1215,0.1096676
0,1230,0.1078599
0,1245,0.1061165
0,1260,0.1044345
0,1275,0.1028108
0,1290,0.1012427
0,1305,0.09972762
0,1320,0.09826303
0,1335,0.09684648
0,1350,0.0954757
0,1365,0.09414846
0,1380,0.09286269
0,1395,0.09161635
0,1410,0.09040756
0,1425,0.08923446
0,1440,0.08809532
1,0,0
1,3,5.115503E-08
1,6,2.362441E-06
1,9,1.698687E-05
1,12,6.268785E-05
1,15,0.0001649126
1,18,0.0003531886
1,21,0.0006581185
1,24,0.001108528
1,27,0.001729198
1,30,0.002539394
1,33,0.003552188
1,36,0.004774409
1,39,0.006207076
1,42,0.007846136
1,45,0.009683334
1,48,0.01170713
1,51,0.01390353
1,54,0.01625692
1,57,0.01875063
1,60,0.02136754
1,63,0.02409051
1,66,0.02690268
1,69,0.02978775
1,72,0.03273021
1,75,0.03571539
1,78,0.03872961
1,81,0.04176022
1,84,0.04479559
1,87,0.04782514
1,90,0.0508393
1,93,0.05382949
1,96,0.05678806
1,99,0.05970825
1,102,0.06258412
1,105,0.06541051
1,108,0.068183
1,111,0.07089778
1,114,0.07355168
1,117,0.07614207
1,120,0.07866683
1,135,0.09026054
1,150,0.1001054
1,165,0.108265
1,180,0.1148805
1,195,0.1201274
1,210,0.1241903
1,225,0.1272488
1,240,0.1294695
1,255,0.1310026
1,270,0.1319799
1,285,0.1325148
1,300,0.132703
1,315,0.1326239
1,330,0.1323419
1,345,0.1319089
1,360,0.1313656
1,375,0.130744
1,390,0.1300686
1,405,0.1293581
1,420,0.1286266
1,435,0.1278846
1,450,0.1271398
1,465,0.1263981
1,480,0.1256635
1,495,0.1249388
1,510,0.1242262
1,525,0.123527
1,540,0.1228419
1,555,0.1221716
1,570,0.1215161
1,585,0.1208755
1,600,0.1202497
1,615,0.1196385
1,630,0.1190415
1,645,0.1184585
1,660,0.1178891
1,675,0.1173329
1,690,0.1167895
1,705,0.1162585
1,720,0.1157396
1,735,0.1152323
1,750,0.1147363
1,765,0.1142513
1,780,0.1137768
1,795,0.1133126
1,810,0.1128582
1,825,0.1124134
1,840,0.1119777
1,855,0.1115511
1,870,0.111133
1,885,0.1107232
1,900,0.1103213
1,915,0.1099272
1,930,0.1095405
1,945,0.109161
1,960,0.1087883
1,975,0.1084222
1,990,0.1080624
1,1005,0.1077087
1,1020,0.1073607
1,1035,0.1070183
1,1050,0.1066813
1,1065,0.1063492
1,1080,0.106022
1,1095,0.1056993
1,1110,0.105381
1,1125,0.1050668
1,1140,0.1047564
1,1155,0.1044498
1,1170,0.1041466
1,1185,0.1038466
1,1200,0.1035496
1,1215,0.1032555
