"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.001820731
0,6,0.03618308
0,9,0.1570177
0,12,0.3963186
0,15,0.7595855
0,18,1.233697
0,21,1.795565
0,24,2.418923
0,27,3.078629
0,30,3.752944
0,33,4.424375
0,36,5.079681
0,39,5.709396
0,42,6.307194
0,45,6.869277
0,48,7.39377
0,51,7.880221
0,54,8.329187
0,57,8.741909
0,60,9.120079
0,63,9.465666
0,66,9.780776
0,69,10.06756
0,72,10.32813
0,75,10.56456
0,78,10.77879
0,81,10.97269
0,84,11.14799
0,87,11.30628
0,90,11.44908
0,93,11.57776
0,96,11.6936
0,99,11.79778
0,102,11.89136
0,105,11.97533
0,108,12.05059
0,111,12.11795
0,114,12.17814
0,117,12.23184
0,120,12.27967
0,135,12.44811
0,150,12.53272
0,165,12.56488
0,180,12.56382
0,195,12.54146
0,210,12.50527
0,225,12.46004
0,240,12.40888
0,255,12.35385
0,270,12.29634
0,285,12.23731
0,300,12.17741
0,315,12.11711
0,330,12.05675
0,345,11.99654
0,360,11.93668
0,375,11.87726
0,390,11.81839
0,405,11.76012
0,420,11.7025
0,435,11.64555
0,450,11.58929
0,465,11.53374
0,480,11.47889
0,495,11.42474
0,510,11.37129
0,525,11.31853
0,540,11.26645
0,555,11.21503
0,570,11.16426
0,585,11.11413
0,600,11.06463
0,615,11.01572
0,630,10.96741
0,645,10.91967
0,660,10.87248
0,675,10.82582
0,690,10.77969
0,705,10.73406
0,720,10.68892
0,735,10.64424
0,750,10.60002
0,765,10.55624
0,780,10.51287
0,795,10.46991
0,810,10.42733
0,825,10.38513
0,840,10.34329
0,855,10.30179
0,870,10.26061
0,885,10.21976
0,900,10.1792
0,915,10.13893
0,930,10.09893
0,945,10.0592
0,960,10.01972
0,975,9.980466
0,990,9.941442
0,1005,9.902631
0,1020,9.864021
0,1035,9.825603
0,1050,9.787366
0,1065,9.749298
0,1080,9.71139
0,1095,9.673635
0,1110,9.636019
0,1125,9.598536
0,1140,9.561177
0,1155,9.523933
0,1170,9.486796
0,1185,9.449759
0,1200,9.412814
0,1215,9.375955
0,1230,9.339172
0,1245,9.302461
0,1260,9.265815
0,1275,9.229228
0,1290,9.192694
0,1305,9.156207
0,1320,9.119763
0,1335,9.083356
0,1350,9.046982
0,1365,9.010635
0,1380,8.974313
0,1395,8.938009
0,1410,8.901722
0,1425,8.865447
0,1440,8.829181
0,1455,8.79292
0,1470,8.756662
0,1485,8.720405
0,1500,8.684145
0,1515,8.64788
0,1530,8.611609
0,1545,8.575327
0,1560,8.539036
0,1575,8.502732
0,1590,8.466415
0,1605,8.430082
0,1620,8.393734
0,1635,8.357368
0,1650,8.320986
0,1665,8.284584
0,1680,8.248163
0,1695,8.211723
0,1710,8.175263
0,1725,8.138784
0,1740,8.102285
0,1755,8.065766
0,1770,8.029229
0,1785,7.992672
0,1800,7.956097
0,1815,7.919504
0,1830,7.882894
0,1845,7.846267
0,1860,7.809625
0,1875,7.772968
0,1890,7.736297
0,1905,7.699614
0,1920,7.662919
0,1935,7.626215
0,1950,7.589501
0,1965,7.55278
0,1980,7.516052
0,1995,7.479321
0,2010,7.442586
0,2025,7.40585
0,2040,7.369114
0,2055,7.332381
0,2070,7.29565
0,2085,7.258926
0,2100,7.222208
0,2115,7.1855
0,2130,7.148803
0,2145,7.112118
0,2160,7.075449
0,2175,7.038796
0,2190,7.002162
0,2205,6.965549
0,2220,6.928958
0,2235,6.892393
0,2250,6.855854
0,2265,6.819344
0,2280,6.782865
0,2295,6.746418
0,2310,6.710008
0,2325,6.673634
0,2340,6.6373
0,2355,6.601006
0,2370,6.564756
0,2385,6.528552
0,2400,6.492395
0,2415,6.456288
0,2430,6.420233
0,2445,6.384231
0,2460,6.348285
0,2475,6.312397
0,2490,6.276568
0,2505,6.240801
0,2520,6.205098
0,2535,6.169461
0,2550,6.133892
0,2565,6.098392
0,2580,6.062964
0,2595,6.027609
0,2610,5.99233
0,2625,5.957128
0,2640,5.922005
0,2655,5.886962
0,2670,5.852003
0,2685,5.817128
0,2700,5.78234
0,2715,5.747639
0,2730,5.713028
0,2745,5.678508
0,2760,5.644082
0,2775,5.60975
0,2790,5.575514
0,2805,5.541376
0,2820,5.507338
0,2835,5.4734
0,2850,5.439565
0,2865,5.405833
0,2880,5.372207
0,2895,5.338688
0,2910,5.305277
0,2925,5.271976
0,2940,5.238784
0,2955,5.205706
0,2970,5.17274
0,2985,5.13989
0,3000,5.107155
0,3015,5.074538
0,3030,5.042038
0,3045,5.009658
0,3060,4.977399
0,3075,4.945261
0,3090,4.913245
0,3105,4.881353
0,3120,4.849586
0,3135,4.817945
0,3150,4.786429
0,3165,4.755042
0,3180,4.723783
0,3195,4.692653
0,3210,4.661653
0,3225,4.630783
0,3240,4.600046
0,3255,4.56944
0,3270,4.538968
0,3285,4.508629
0,3300,4.478426
0,3315,4.448356
0,3330,4.418423
0,3345,4.388626
0,3360,4.358966
0,3375,4.329443
0,3390,4.300058
0,3405,4.270812
0,3420,4.241704
0,3435,4.212736
0,3450,4.183908
0,3465,4.155219
0,3480,4.126672
0,3495,4.098265
0,3510,4.069999
0,3525,4.041875
0,3540,4.013893
0,3555,3.986053
0,3570,3.958355
0,3585,3.9308
0,3600,3.903388
0,3615,3.876118
0,3630,3.848992
0,3645,3.822009
0,3660,3.79517
0,3675,3.768474
0,3690,3.741921
0,3705,3.715512
0,3720,3.689247
0,3735,3.663126
0,3750,3.637149
0,3765,3.611315
0,3780,3.585625
0,3795,3.560079
0,3810,3.534676
0,3825,3.509417
0,3840,3.484302
0,3855,3.45933
0,3870,3.434501
0,3885,3.409816
0,3900,3.385273
0,3915,3.360874
0,3930,3.336617
0,3945,3.312503
0,3960,3.288531
0,3975,3.264701
0,3990,3.241013
0,4005,3.217467
0,4020,3.194062
0,4035,3.170798
0,4050,3.147675
0,4065,3.124693
0,4080,3.101851
0,4095,3.079149
0,4110,3.056586
0,4125,3.034163
0,4140,3.011879
0,4155,2.989733
0,4170,2.967726
0,4185,2.945857
0,4200,2.924125
0,4215,2.90253
0,4230,2.881072
0,4245,2.859751
0,4260,2.838565
0,4275,2.817515
0,4290,2.7966
0,4305,2.775819
0,4320,2.755173
0,4335,2.73466
0,4350,2.714281
0,4365,2.694035
0,4380,2.67392
0,4395,2.653938
0,4410,2.634087
0,4425,2.614367
0,4440,2.594777
0,4455,2.575317
0,4470,2.555987
0,4485,2.536785
0,4500,2.517712
0,4515,2.498766
0,4530,2.479948
0,4545,2.461256
0,4560,2.442691
0,4575,2.424251
0,4590,2.405936
